"month","revenue"
2017-11-01 00:00:00.000,1194882.80
2018-04-01 00:00:00.000,1160785.48
2018-03-01 00:00:00.000,1159652.12
2018-05-01 00:00:00.000,1153982.15
2018-01-01 00:00:00.000,1115004.18
2018-07-01 00:00:00.000,1066540.75
2018-06-01 00:00:00.000,1023880.50
2018-08-01 00:00:00.000,1022425.32
2018-02-01 00:00:00.000,992463.34
2017-12-01 00:00:00.000,878401.48
2017-10-01 00:00:00.000,779677.88
2017-09-01 00:00:00.000,727762.47
2017-08-01 00:00:00.000,674396.32
2017-05-01 00:00:00.000,592918.82
2017-07-01 00:00:00.000,592382.92
2017-06-01 00:00:00.000,511276.38
2017-03-01 00:00:00.000,449863.60
2017-04-01 00:00:00.000,417788.03
2017-02-01 00:00:00.000,291908.01
2017-01-01 00:00:00.000,138488.04
2016-10-01 00:00:00.000,59090.48
2018-09-01 00:00:00.000,4439.54
2018-10-01 00:00:00.000,589.67
2016-09-01 00:00:00.000,252.24
2016-12-01 00:00:00.000,19.62
